Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Pytanie ENG,Odpowiedź ENG A,Odpowiedź ENG B,Odpowiedź ENG C,Pytanie DE,Odpowiedź DE A,Odpowiedź DE B,Odpowiedź DE C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Nazwa media tłumaczenie migowe (SJM) treść pyt,Nazwa media tłumaczenie migowe (SJM) treść odp A,Nazwa media tłumaczenie migowe (SJM) treść odp B,Nazwa media tłumaczenie migowe (SJM) treść odp C
6367,"Kiedy, w tej sytuacji, wolno Ci powrócić na prawy pas ruchu, po wykonaniu manewru wyprzedzania?",Niezwłocznie po zauważeniu krawędzi wyprzedzanego pojazdu w lusterku zewnętrznym.,Niezwłocznie po zauważeniu światła wyprzedzanego pojazdu w lusterku zewnętrznym.,"Po upewnieniu się, że nie zmusi to kierującego pojazdem wyprzedzanym do hamowania lub zmiany toru jazdy.",When can you return to the right lane after you complete the overtaking manoeuvre on a one-way road with two lanes?,Immediately after you can see the edge of the overtaken car in your external mirror.,Immediately after you can see the lights of the overtaken car in the external mirror.,After you've made sure that this will not force the driver of the overtaken car to brake or change its trajectory of driving.,Wann dürfen Sie nach einem auf einer Einbahnstraße mit zwei Fahrstreifen durchgeführten Überholvorgang auf den rechten Fahrstreifen wiedereinordnen?,Sobald der Rand des überholten Fahrzeug im Außenspiegel gesehen wird.,Sobald das Licht des überholten Fahrzeug im Außenspiegel gesehen wird.,"Wenn Sie sich überzeugen, dass der Führer des überholten Fahrzeuges dadurch zum Bremsen oder Veränderung der Fahrlinie nicht gezwungen sein wird.",C,2B310.jpg,SPECJALISTYCZNY,2,"B,B1",B5,,,,,,,,
6368,"Jaka pozycja za kierownicą umożliwi zmniejszenie efektu tzw. martwego pola w lusterkach, występującego w czasie obserwacji drogi?","Statyczna - sztywne siedzenie na fotelu, bez ruchów tułowia i głowy.",Dynamiczna - w zależności od sytuacji odchylanie tułowia i głowy od fotela.,Dowolna - przede wszystkim dająca wygodę kierowania.,What position behind the wheel will help to reduce the effect of the so-called blind spot in the mirrors which occurs when you watch the road?,"Static - sitting in a stiff position, without moving your body or head.","Dynamic - bending your body and head away from the seat, as required by the circumstances.",Any position - as long as it guarantees comfort of driving.,Welche Sitzposition hinter dem Lenkrad wird den sog. Toter-Winkel-Effekt in den Spiegeln vermindern?,"Statisch  - Steifes Sitzen, ohne den Oberkörper und Kopf zu bewegen.","Dynamisch - den Oberkörper und Kopf, je nach der Situation, vom Sitz neigen.",Beliebig - die vor allem für die Führung bequem ist.,B,2B312.jpg,SPECJALISTYCZNY,2,"B,B1",B5,pjm6368.wmv,pjm6368a.wmv,pjm6368b.wmv,pjm6368c.wmv,,,,
6369,"Jak powinieneś się zachować przed rozpoczęciem wyprzedzania przy dobrej przejrzystości powietrza, aby zapewnić sobie optymalną widoczność drogi?",Zbliżę się maksymalnie do pojazdu jadącego przede mną.,"Będę utrzymywać odstęp od pojazdu poprzedzającego, wystarczający do obserwacji drogi przed tym pojazdem.","Użyję sygnału dźwiękowego, żeby zmusić kierującego poprzedzającym pojazdem do zjechania na pobocze lub pas awaryjny.",How should you behave before you start overtaking in good visibility in order to ensure that you have sufficient visibility of the road?,I must come as close as possible to the car in front of me.,I will keep a sufficient distance from the car in front of me to allow me to watch the road.,I will use the horn to force the driver of the car in front of me to move to the shoulder or an emergency lane.,"Wie sollen Sie sich verhalten, bevor sie bei guter Durchsichtigkeit der Luft den Überholvorgang beginnen, damit Sie die Straße gut sehen?",Ich nähere mich dem vorausfahrenden Fahrzeug maximal an.,"Ich werden einen Abstand zum vorausfahrenden Fahrzeug, der für die Beobachtung der Straße ausreichend ist, einhalten.","Ich werde das Schallzeichen verwenden, damit der Führer des vorausfahrenden Fahrzeugs gezwungen sein wird, an den Straßenrand oder Notstreifen zu fahren.",B,2B314.jpg,SPECJALISTYCZNY,2,"B,B1",B5,pjm6369.wmv,pjm6369a.wmv,pjm6369b.wmv,pjm6369c.wmv,,,,
6370,W jaki sposób powinieneś obserwować drogę podczas jazdy w ruchu miejskim?,"Tak, aby uzyskać szerokie pole widzenia.",Skupiając się na wąskiej przestrzeni bezpośrednio przed pojazdem.,Nie zwracając uwagi na sytuację za pojazdem.,How should you observe the road when you drive the car in the road traffic?,In such a way as to get a wide field of vision.,By concentrating on a narrow space immediately in front of the car.,Without paying any attention to the situation behind the car.,Wie sollen Sie die Straße beim Fahren im Stadtverkehr beobachten?,"So, dass ein großes Sichtfeld erreicht wird.","So, dass ich mich auf einen schmalen Raum direkt vor dem Fahrzeug konzentriere.","So, dass ich auf die Situation hinter dem Fahrzeug nicht achte.",A,2B315.jpg,SPECJALISTYCZNY,2,"B,B1",B5,pjm6370.wmv,pjm6370a.wmv,pjm6370b.wmv,pjm6370c.wmv,,,,
6371,Co powinieneś widzieć w prawidłowo ustawionym lusterku wstecznym (wewnętrznym)?,Dziecko siedzące w foteliku za siedzeniem pasażera.,Odbicie własnej twarzy.,Tylną szybę i drogę za pojazdem.,What should you see in a properly-positioned rear-view mirror?,The child sitting in the child safety seat behind the passenger's seat.,The reflection of the driver's own face.,The rear car window and the road behind the car.,Was sollen Sie im richtig eingestellten Rückspiegel sehen?,Das Kind im Kindersitz hinter dem Beifahrersitz.,Ihr eigenes Gesicht.,Heckscheibe und die Straße hinter dem Fahrzeug.,C,2B316.jpg,SPECJALISTYCZNY,2,B,B5,,,,,,,,
6372,Jak prawidłowo powinieneś ustawić lusterko wsteczne (wewnętrzne)?,"Dowolnie, w zależności od tego co chcesz obserwować.","Tak, aby widzieć tylną szybę i drogę za pojazdem.","Tak, aby widzieć siedzącego z tyłu pasażera.",How should you properly position the rear-view mirror?,"In any position, depending what you want to see.",In such a way as to see the rear car window and the road behind the car.,In such a way as to see the passenger sitting at the back.,Wie sollen Sie den Rückspiegel richtig einstellen?,"Beliebig, je nachdem was Sie sehen wollen.","So, dass die Heckscheibe und die Straße hinter dem Fahrzeug zu sehen sind.","So, dass der hinten sitzende Mitfahrende zu sehen ist.",B,2B317.jpg,SPECJALISTYCZNY,2,B,B5,,,,,,,,
6373,W jaki sposób ustawisz fotel kierowcy przed jazdą?,"Tak, aby umożliwiał swobodny dostęp do urządzeń pojazdu służących do kierowania i sterowania nim.","Tak, aby plecy nie przylegały do oparcia.","Tak, aby ręce trzymające kierownicę były całkowicie wyprostowane w łokciach.",How will you position the driver's seat before you start driving?,In such a way as to have free access to the equipment of the car used to drive and steer the car.,In such a way so that my back is not positioned tight against the back of the seat.,"In such a way that my arms, holding the steering wheel, are fully straightened-up in the elbows.",Wie werden Sie den Fahrersitz vor der Fahrt einstellen?,"So, dass die der Führung und der Steuerung des Fahrzeugs dienenden Elemente mühelos erreicht werden können.","So, dass der Rücken an der Sitzlehne nicht anliegt.","So, dass Sie das Lenkrad mit voll gestreckten Armen halten.",A,2B403.jpg,SPECJALISTYCZNY,2,B,B6,pjm6373.wmv,pjm6373a.wmv,pjm6373b.wmv,pjm6373c.wmv,,,,
6375,"W jakiej kolejności masz obowiązek wykonać poszczególne czynności, gdy przygotowujesz się do jazdy samochodem?","Zapiąć pasy bezpieczeństwa, ustawić lusterka i fotel kierowcy.","Ustawić lusterka, fotel kierowcy i zapiąć pasy bezpieczeństwa.","Ustawić fotel kierowcy, lusterka i zapiąć pasy bezpieczeństwa.",In what order should you perform the following activities when preparing to drive a vehicle?,"Fasten the seat belts, position the mirrors and the driver's seat.","Position the mirrors, the driver's seat and fasten the seat belts.","Position the driver's seat, mirrors and fasten the seat belts.","In welcher Reihenfolge sollen Sie die einzelnen Schritte ausführen, wenn Sie sich für die Fahrt vorbereiten?","Sicherheitsgurt anschnallen, Spiegel und Fahrersitz einstellen.","Spiegel einstellen, Fahrersitz einstellen und Sicherheitsgurt anschnallen.","Fahrersitz einstellen, Spiegel einstellen und Sicherheitsgurt anschnallen.",C,2B406.jpg,SPECJALISTYCZNY,2,B,B6,,,,,,,,
6377,Na jakim biegu powinieneś rozpocząć jazdę na suchej nawierzchni?,Drugim.,Najniższym.,Dowolnym.,In what gear should you start driving on a dry surface?,The second.,The lowest.,Any gear.,In welchem Gang sollen Sie auf einer trockenen Straße anfahren?,Im zweiten.,Im niedrigsten.,Im beliebigen.,B,2B408.jpg,SPECJALISTYCZNY,2,"B,B1",B6,pjm6377.wmv,pjm6377a.wmv,pjm6377b.wmv,pjm6377c.wmv,,,,
6378,"Co powinieneś widzieć w dobrze ustawionych lusterkach zewnętrznych, gdy kierujesz samochodem osobowym?",Tylko boki pojazdu.,Obszar za pojazdem i boki pojazdu.,Tylko sąsiedni pas ruchu.,"While driving a passenger car, what should you see in properly-adjusted external mirrors (""rear-view mirrors"")?",Only the sides of the car.,The area behind the car and the sides of the car.,Only the adjacent lane.,"Was sollen im in den richtig eingestellten Außenspiegel (""Rückspiegel"") sehen?",Nur die Seiten des Fahrzeugs.,Den Bereich hinter dem Fahrzeug und Seiten des Fahrzeugs.,Nur den benachbarten Fahrstreifen.,B,,SPECJALISTYCZNY,2,B,B6,pjm6378.wmv,pjm6378a.wmv,pjm6378b.wmv,pjm6378c.wmv,,,,
6379,W jaki sposób powinieneś hamować awaryjnie samochodem osobowym wyposażonym w układ przeciwblokujący (ABS)?,Mocno wcisnąć pedał hamulca i nie zwalniać go w chwili zadziałania układu ABS.,Mocno wcisnąć pedał hamulca i zmniejszyć nacisk w chwili zadziałania układu ABS.,Hamować pulsacyjnie aż do zadziałania układu ABS.,"In what way should you brake in an emergency situation, if the vehicle is equipped with anti-lock braking system (ABS)?",Firmly press on the brake pedal without releasing it when the ABS system is activated.,Firmly press on the brake pedal and slightly let up on it while the ABS system is activated.,Press on the brake pedal using a pulsating action until the ABS system is activated.,"Wie sollen Sie die Notbremsung mit einem Pkw, der mit einem Anti-Blockier-System (ABS) ausgestattet ist, durchführen?",Das Bremspedal kräftig durchtreten und die Bremse nicht loslassen wenn das ABS einsetzt.,Das Bremspedal kräftig durchtreten und den Druck vermindern sobald das ABS einsetzt.,Stotternd bremsen bis das ABS einsetzt.,A,2B410.jpg,SPECJALISTYCZNY,2,B,B6,,,,,,,,
6380,"W którym momencie wciśniesz pedał sprzęgła, gdy jadąc z dużą prędkością samochodem osobowym, planujesz wykonać manewr hamowania?",Przed naciśnięciem pedału hamulca.,Równocześnie z pedałem hamulca.,Gdy prędkość poruszania się samochodu spadnie do minimalnej dla aktualnego przełożenia.,"At what point, while driving a passenger car, will you press the clutch pedal if you want to routinely (intentionally) brake when you're travelling at high speed?",Before I press the brake pedal.,Together with the brake pedal.,When the speed drops to the minimum speed for the gear I'm going in.,In welchem Zeitpunkt bei der Führung eines PkWs werden Sie das Kupplungspedal beim normalen (geplanten) Bremsen bei hoher Geschwindigkeit drücken?,Bevor Sie das Bremspedal drücken.,Gleichzeitig mit dem Bremspedal.,Wenn die Geschwindigkeit des Fahrzeugs den Mindestwert für die aktuelle Getriebeübersetzung erreicht.,C,2B411.jpg,SPECJALISTYCZNY,2,B,B6,,,,,,,,
6381,W jaki sposób będziesz przeciwdziałać sile odśrodkowej podczas skręcania czterokołowcem w lewo?,Górną część ciała odchylę w prawo.,Zaprę się prawą stopą o płytę podnóżka.,Będę utrzymywać ciało w osi wzdłużnej pojazdu.,How will you counteract the centrifugal force while turning left in a four-wheeled vehicle?,I will bend the upper part of my body to the right.,I will brace my right foot against the footrest.,I will keep my body along the longitudinal axis of the car.,"Wie können Sie der Fliehkraft entgegenwirken, wenn Sie mit einem vierrädrigen Kraftfahrzeug nach links abbiegen?",Ich neige den Oberkörper nach rechts.,Ich stemme mich mit dem rechten Fuß gegen die Fußstütze.,Ich halte meinen Körper in der Längsachse des Fahrzeugs.,B,2B450.jpg,SPECJALISTYCZNY,2,B1,B6,,,,,,,,
6382,Jak będziesz przeciwdziałać sile odśrodkowej podczas skręcania czterokołowcem w prawo?,Górną część ciała odchylę w prawo.,Pozostawię ciężar ciała w osi wzdłużnej pojazdu.,Zaprę się prawą stopą o płytę podnóżka.,How will you counteract the centrifugal force while turning right in a four-wheeled vehicle?,I will bend the upper part of my body to the right.,I will keep my body along the longitudinal axis of the car.,I will brace my right foot against the footrest.,"Wie können Sie der Fliehkraft entgegenwirken, wenn Sie mit einem vierrädrigen Kraftfahrzeug nach rechts abbiegen?",Ich neige den Oberkörper nach rechts.,Ich lasse das Körpergewicht in der Längsachse des Fahrzeugs.,Ich stemme mich mit dem rechten Fuß gegen die Fußstützplatte.,A,2B451.jpg,SPECJALISTYCZNY,2,B1,B6,,,,,,,,
6383,Jaką pozycję ciała powinieneś utrzymywać w czasie zjeżdżania czterokołowcem ze wzniesienia?,"Siedzącą, z ciężarem ciała przeniesionym w stronę tylnej osi.","Stojącą, prostopadłą do osi wzdłużnej pojazdu.","Siedzącą, z ciałem pochylonym do przodu",What body position should you maintain when going down a hill in a four-wheeled vehicle?,"A sitting position, with the body weight shifted towards the rear axle.","A standing position, perpendicular to the longitudinal axis of the car.","A sitting position, with the body leaned forward.","Welche Körperstellung sollen Sie halten, während Sie mit einem vierrädrigen Kraftfahrzeug eine Anhöhe herunterfahren?","Sitzhaltung, das Körpergewicht wird in die Richtung der Hinterachse übertragen.","Stehhaltung, senkrecht zur Längsachse des Fahrzeugs.","Sitzhaltung, mit dem nach vor gebeugten Körper",A,2B452.jpg,SPECJALISTYCZNY,2,B1,B6,,,,,,,,
6384,Jaką pozycję ciała powinieneś utrzymywać w czasie podjazdu czterokołowcem na wzniesienie?,"Siedzącą, prostopadłą do osi wzdłużnej pojazdu.","Stojącą, pochyloną ku przedniej osi.","Siedzącą, odchyloną ku tylnej osi.",What body position should you maintain when going up a hill in a four-wheeled vehicle?,"A sitting position, perpendicular to the longitudinal axis of the car.","A standing position, with the body leaned towards the front axle.","A sitting position, with the body leaned towards the rear axle.","Welche Körperstellung sollen Sie halten, während Sie mit einem vierrädrigen Kraftfahrzeug eine Anhöhe hinauffahren?","Sitzhaltung, senkrecht zur Längsachse des Fahrzeugs.","Stehhaltung, geneigt zur Vorderachse.","Sitzhaltung, geneigt zur Hinterachse.",B,2B453.jpg,SPECJALISTYCZNY,2,B1,B6,,,,,,,,
6385,Co jest niewskazane podczas jazdy czterokołowcem w zakręcie?,Utrzymywanie niewielkiej stałej prędkości jazdy.,Pochylenie się w stronę zakrętu.,Nagłe zamknięcie lub otwarcie przepustnicy.,What is not recommended to do when you go around a bend in a four-wheeled vehicle?,"To maintain a low, regular speed.",To lean towards the bend.,To suddenly close or open the throttle.,Was ist bei der Fahrt mit einen vierrädrigen Kraftfahrzeug in einer Kurve nicht empfohlen?,"Mit einer niedrigen, konstanten Geschwindigkeit fahren.",sich zur Kurve neigen.,Drosselklappe plötzlich schließen oder öffnen.,C,2B454.jpg,SPECJALISTYCZNY,2,B1,B6,,,,,,,,
6386,"Ile maksymalnie osób, wliczając siebie, możesz przewozić kierując prywatnym samochodem osobowym?","Tyle, ile wynosi liczba miejsc określona w dowodzie rejestracyjnym plus jedno dziecko w wieku do 3 lat","Tyle, ile wynosi liczba miejsc określona w dowodzie rejestracyjnym plus jedno dziecko w wieku do 7 lat.","Tyle, ile wynosi liczba miejsc określona w dowodzie rejestracyjnym.","How many persons, including yourself, can you transport when you drive a passenger car?",As many persons as the number of seats specified on the registration card plus one child aged up to 3.,As many persons as the number of seats specified on the registration card plus one child aged up to 7.,As many persons as the number of seats specified on the registration card.,"Wie viele Personen, Sie selbst mitgerechnet, dürfen Sie höchstens befördern, wenn Sie einen Pkw führen?","So viele, wie die Anzahl der Plätze im Fahrzeugschein ausgewiesen ist, plus ein Kind unter 3 Jahren","So viele, wie die Anzahl der Plätze im Fahrzeugschein ausgewiesen ist, plus ein Kind unter 7 Jahren.","So viele, wie die Anzahl der Plätze im Fahrzeugschein ausgewiesen ist.",C,2C101.jpg,SPECJALISTYCZNY,2,B,B7,,,,,,,,
6387,Który z wymienionych dokumentów określa dopuszczalną liczbę osób przewożonych pojazdem samochodowym?,Dowód rejestracyjny.,Prawo jazdy.,Dokument stwierdzający zawarcie umowy obowiązkowego ubezpieczenia odpowiedzialności cywilnej.,Which of the following documents specifies the permitted number of persons transported in the car?,The registration card.,The driving licence.,A document confirming the valid obligatory third party civil liability insurance.,"In welchem, von den nachstehenden Dokumenten wird die Höchstanzahl der Personen, die mit dem Fahrzeug befördert werden, bestimmt?",Fahrzeugschein.,Führerschein.,"Ein Dokument, das den Abschluss des Haftpflichtversicherungsvertrages bestätigt.",A,2C102.jpg,SPECJALISTYCZNY,2,"B,B1",B7,,,,,,,,
6388,Kto ma obowiązek korzystania z pasów bezpieczeństwa?,Tylko kierujący i pasażer siedzący na przednim siedzeniu.,"Kierujący i pasażer - na przednim siedzeniu zawsze, a na tylnym tylko wówczas, gdy pojazd porusza się poza obszarem zabudowanym.",Kierujący i wszyscy pasażerowie.,Who is obliged to use seat belts?,Only the driver and a passenger sitting in the front seat.,The driver and the passenger - always in the front seat - and in the back seat when the car goes outside a built-up area.,The driver and all the passengers.,"Wer ist verpflichtet, den Sicherheitsgurt zu benutzen?",Nur der Fahrer und der Beifahrer.,"der Fahrer und der Mitfahrer - auf dem Vordersitz immer, und auf dem Hintersitz nur dann, wenn das Fahrzeug außerhalb geschlossener Ortschaft fährt.",Der Fahrer und alle Mitfahrer.,C,2C103.jpg,SPECJALISTYCZNY,2,B,B7,pjm6388.wmv,pjm6388a.wmv,pjm6388b.wmv,pjm6388c.wmv,,,,
6389,Czy dorosły pasażer samochodu osobowego przewożony na tylnym siedzeniu ma obowiązek używania pasów bezpieczeństwa?,Nie.,"Tak, ale tylko wówczas, gdy pojazd porusza się poza obszarem zabudowanym.",Tak.,Is an adult passenger of a passenger car transported in the back seat obliged to use the seat belts?,No.,"Yes, but only when the car goes outside a built-up area.",Yes.,"Ist der volljährige Mitfahrer eines Pkw, der auf dem Hintersitz befördert wird, verpflichtet, den Sicherheitsgurt zu benutzen?",Nein.,"Ja, aber nur dann, wenn das Fahrzeug außerhalb geschlossener Ortschaft fährt.",Ja.,C,2C104.jpg,SPECJALISTYCZNY,2,B,B7,pjm6389.wmv,pjm6389a.wmv,pjm6389b.wmv,pjm6389c.wmv,,,,
6390,"Czy naruszasz przepisy ruchu drogowego, jeżeli kierując pojazdem rozmawiasz przez telefon trzymając go w ręku?","Nie, pod warunkiem panowania nad pojazdem.","Nie, pod warunkiem, że telefon trzymam oddalony od ucha z włączonym trybem głośnomówiącym.","Tak, nawet wówczas gdy telefon trzymam oddalony od ucha z włączonym trybem głośnomówiącym.","Do you violate the provisions of traffic law, if, while driving a car, you talk on a phone by holding the phone in your hand?","No, as long as I maintain the control of the car.","No, as long as I hold the telephone away from my ear and I have switched on the loudspeaker mode.","Yes, even if I hold the telephone away from my ear and I have switched on the loudspeaker mode.","Verletzen Sie die Vorschriften der Verkehrsordnung, wenn Sie während der Fahrzeugführung telefonieren und das Telefon in der Hand halten?","Nein, unter der Bedingung, dass das Fahrzeug beherrscht wird.","Nein, unter der Voraussetzung, dass ich das Telefon fern vom Ohr halte und der Freisprechmodus eingeschaltet ist.","Ja, auch dann, wenn ich das Telefon fern vom Ohr halte und der Freisprechmodus eingeschaltet ist.",C,2C105.jpg,SPECJALISTYCZNY,2,"B,B1",B7,pjm6390.wmv,pjm6390a.wmv,pjm6390b.wmv,pjm6390c.wmv,,,,
6391,"Ile maksymalnie osób, wliczając siebie, możesz przewozić, gdy masz prawo jazdy kategorii B?",5,9,10,"What is the maximum number of persons, including yourself, that you may transport if you have a B-category driving licence?",5,9,10,"Wie viele Personen, Sie selbst mitgerechnet, dürfen Sie höchstens befördern, wenn Sie den Führerschein Klasse B haben?",5,9,10,B,2C108.jpg,SPECJALISTYCZNY,2,B,B7,pjm6391.wmv,pjm6391a.wmv,pjm6391b.wmv,pjm6391c.wmv,,,,
6393,Na których drogach publicznych masz obowiązek zapinać pasy bezpieczeństwa?,Na wszystkich drogach.,Tylko na drogach twardych.,Tylko na drogach poza obszarem zabudowanym.,On what public roads is wearing seatbelts mandatory?,On all roads.,Only on paved roads.,Only on roads outside built-up areas.,Auf welchen öffentlichen Straßen besteht für den Fahrenden die Pflicht zur Benutzung von Sicherheitsgurten?,Auf allen Straßen.,Nur auf befestigten Straßen.,Nur auf Straßen außerhalb geschlossener Ortschaft.,A,2C130.jpg,SPECJALISTYCZNY,2,B,B7,pjm6393.wmv,pjm6393a.wmv,pjm6393b.wmv,pjm6393c.wmv,,,,
6397,Czy wolno Ci przewozić przedszkolaka na kolanach osoby dorosłej?,"Tak, tylko na tylnym siedzeniu.",Nie.,"Tak, jeżeli korzysta się z pasów bezpieczeństwa.",Can you transport a preschooler on the lap of an adult person?,"Yes, but only in the back seat.",No.,"Yes, if you fasten your seat belts.",Dürfen Sie ein Lind im Kindergartenalter auf dem Schoß eines Erwachsenen befördern?,"Ja, nur auf dem Hintersitz.",Nein.,"Ja, wenn die Sicherheitsgurt benutzt wird.",B,2C137.jpg,SPECJALISTYCZNY,2,B,B7,,,,,,,,
6398,Czy masz prawo przewozić niemowlaka na kolanach osoby dorosłej?,Nie.,"Tak, ale tylko na tylnym siedzeniu.","Tak, ale pod warunkiem, że osoba ta korzysta z pasów bezpieczeństwa.",Can you transport an infant on the lap of an adult person?,No.,"Yes, but only in the back seat.","Yes, if such person has the seat belts fastened.",Darf man ein Baby auf dem Schoß eines Erwachsenen befördern?,Nein.,"Ja, nur auf dem Hintersitz.","Ja, wenn diese Person Sicherheitsgurt benutzt.",A,2C138.jpg,SPECJALISTYCZNY,2,B,B7,pjm6398.wmv,pjm6398a.wmv,pjm6398b.wmv,pjm6398c.wmv,,,,
6399,Jaki jest właściwy sposób przewożenia noworodka samochodem osobowym?,"W dowolnym nosidełku, jeśli jest przypięte pasami bezpieczeństwa.",W odpowiednim dla noworodka foteliku ochronnym.,Na kolanach osoby dorosłej z zapiętymi pasami bezpieczeństwa.,How is it recommended to transport an infant in a passenger car?,"In any baby carrier, as long as the infant is fastened with seat belts.",In a child safety seat suitable for infants.,On the lap of an adult person who has the seat belts fastened.,"Wie wird es empfohlen, einen Neugeborenen mit einem Pkw zu befördern?","In der beliebigen Babyschale, wenn die Sicherheitsgurt angeschnallt wird.",In einem für ein Neugeborene geeigneten Kinderschutzsitz.,"Auf dem Schoß eines Erwachsenen, dessen Sicherheitsgurt angeschnallt wird.",B,2C139.jpg,SPECJALISTYCZNY,2,B,B7,pjm6399.wmv,pjm6399a.wmv,pjm6399b.wmv,pjm6399c.wmv,,,,
6400,Czy kierując czterokołowcem masz prawo przewozić dziecko w wieku do 6 lat?,Nie.,"Tak, ale tylko z prędkością do 40 km/h.","Tak, z dowolną prędkością.","Can you, while driving a four-wheeled vehicle (microcar, quad), transport a child aged up to 6?",No.,"Yes, but only with the speed of up to 40 km/h.","Yes, at any speed.",Dürfen Sie ein Kind unter 6 Jahren mit einem vierrädrigen offenen Kraftfahrzeug (wie Quad) befördern?,Nein.,"Ja, aber nur mit einer Geschwindigkeit bis 40 km/h.","Ja, mit einer beliebigen Geschwindigkeit.",B,2C160.jpg,SPECJALISTYCZNY,2,B1,B7,,,,,,,,
6401,Którym z wymienionych zespołów pojazdów możesz kierować mając prawo jazdy kategorii B?,"Samochodem ciężarowym o dopuszczalnej masie całkowitej 2,5 t z przyczepą lekką.",Ciągnikiem rolniczym z dwiema przyczepami.,"Samochodem osobowym z przyczepą, których łączna dopuszczalna masa całkowita wynosi 4,5 t.",Which of the following combination vehicles can you drive if you have a B-category driving licence?,"A truck with gross vehicle weight of 2.5 t, with a light trailer.",A farm tractor with two trailers.,"A passenger car with a trailer, as long as their gross vehicle weight amounts to up to 4.5 t.","Welche von den nachstehend genannten Fahrzeugkombinationen dürfen Sie fahren, wenn Sie den Führerschein Klasse B haben?","Einen Lkw mit der zulässigen Gesamtmasse von 2,5 t mit einem leichten Anhänger.",Eine landwirtschaftliche Zugmaschine mit zwei Anhängern.,"Einen Pkw mit Anhänger, mit der zulässigen Gesamtmasse der Kombination 4,5 t.",A,2C107.jpg,SPECJALISTYCZNY,2,B,B7,,,,,,,,
6402,"Jaka jest maksymalna dopuszczalna odległość, licząc od tylnej płaszczyzny obrysu pojazdu, na którą może wystawać ładunek przewożony pojazdem samochodowym?",2 m.,1 m.,"0,5 m.","What is the maximum overhang of a load transported in a motor vehicle, counting from the rear outline of the car?",2 m.,1 m.,0.5 m.,"Wie weit darf eine Ladung, die mit einem Kraftfahrzeug befördert wird, nach hinten herausragen, gerechnet vom hinteren Umriss des Fahrzeugs?",2 m.,1 m.,"0,5 m.",A,2C117.jpg,SPECJALISTYCZNY,2,"B,B1",B7,pjm6402.wmv,pjm6402a.wmv,pjm6402b.wmv,pjm6402c.wmv,,,,
6403,Jaka jest maksymalna dopuszczalna długość zespołu pojazdów składającego się z samochodu osobowego i przyczepy kempingowej?,"18,75 m.","17,75 m.",15 m.,What is the maximum length of a combination vehicle consisting of a passenger car and a caravan?,18.75 m.,17.75 m.,15 m.,"Wie darf die maximale Länge der Fahrzeugkombination, der aus einem Pkw und einem Wohnanhänger besteht, sein?","18,75 m.","17,75 m.",15 m.,A,2C118.jpg,SPECJALISTYCZNY,2,B,B7,pjm6403.wmv,pjm6403a.wmv,pjm6403b.wmv,pjm6403c.wmv,,,,
6404,"Którą z tych czynności ma obowiązek wykonać uczestnik wypadku drogowego, w którym są ranni?","Niezwłocznie usunąć pojazd z drogi, aby nie utrudniał ruchu.","Niezwłocznie pozbierać uszkodzone części pojazdu z jezdni, aby nie utrudniały ruchu.",Udzielić niezbędnej pomocy ofiarom wypadku oraz wezwać zespół ratownictwa medycznego i Policję.,What are responsibilities of the person involved in the traffic accident in which there are victims?,Promptly remove the vehicle from the road so as not to block traffic.,Promptly remove any damaged vehicle parts from the road so as not to impede traffic.,Offer assistance to victims of the accident as well as call an ambulance and the Police.,Welche Pflicht hat der Beteiligte an einem Verkehrsunfall mit Verletzten?,"Das Fahrzeug von der Straße unverzüglich entfernen, damit es den Verkehr nicht behindert.","Beschädigte Teile des Fahrzeugs von der Fahrbahn unverzüglich räumen, damit der Verkehr nicht behindert wird.",Den Unfallopfern notwendige Hilfe leisten und Rettungsdienst sowie Polizei rufen.,C,2C120.jpg,SPECJALISTYCZNY,2,"B,B1",B7,,,,,,,,
6405,"W jakiej odległości za stojącym na autostradzie, uszkodzonym samochodem osobowym, masz obowiązek umieścić ostrzegawczy trójkąt odblaskowy?",30-50 m.,100 m.,150 m.,"At what distance behind a broken-down passenger car, parked on a motorway, should you place a warning triangle?",30-50 m.,100 m.,150 m.,In welcher Entfernung ist das rückstrahlende Warndreieck auf der Autobahn hinter dem beschädigten Pkw aufzustellen?,30-50 m.,100 m.,150 m.,B,2C121.jpg,SPECJALISTYCZNY,2,B,B7,pjm6405.wmv,pjm6405a.wmv,pjm6405b.wmv,pjm6405c.wmv,,,,
6406,Co nazywamy zespołem pojazdów?,Samochód osobowy z przyczepą.,Motocykl z bocznym wózkiem.,Pojazdy silnikowe złączone w celu holowania.,What do we call a combination vehicle?,A passenger car with a trailer.,A motorbike with a side car.,Motor vehicles combined for the purpose of towing.,Was nennt man eine Fahrzeuggruppe?,Pkw mit Anhänger.,Kraftrad mit Beiwagen.,"Kraftfahrzeuge, die zum Zweck des Schleppens verbunden sind.",A,2C123.jpg,SPECJALISTYCZNY,2,B,B7,pjm6406.wmv,pjm6406a.wmv,pjm6406b.wmv,pjm6406c.wmv,,,,
